ticker,composite,technical,fundamental,sentiment,analysis_time
LFAW,11.071398295547148,1.0713982955471486,10.0,0.0,2025-02-14T17:55:27.719068
TMAT,11.03953223849362,1.0395322384936208,10.0,0.0,2025-02-14T18:18:25.022090
LIAF,10.927344984208055,0.9273449842080559,10.0,0.0,2025-02-14T17:56:21.784605
QCAP,10.925403396027807,0.9254033960278079,10.0,0.0,2025-02-14T18:10:18.062271
FRDM,10.920100805333195,0.920100805333196,10.0,0.0,2025-02-14T17:40:19.583293
LKOR,10.850725383320178,0.8507253833201788,10.0,0.0,2025-02-14T17:57:41.722441
FHDG,10.75711402377457,0.7571140237745703,0.0,10.0,2025-02-14T17:38:10.133317
FDHT,10.736437646103271,1.7364376461032707,9.0,0.0,2025-02-14T17:36:55.298582
SHAG,10.714525998443655,0.7145259984436557,10.0,0.0,2025-02-14T18:15:03.303312
QMAR,10.702426137994921,0.7024261379949209,10.0,0.0,2025-02-14T18:11:22.113977
KWT,10.688732963650162,2.6887329636501622,8.0,0.0,2025-02-14T17:54:07.255497
FDEM,10.590998250937094,0.5909982509370941,10.0,0.0,2025-02-14T17:36:37.472777
CAOS,10.556186229364314,0.5561862293643145,10.0,0.0,2025-02-14T17:28:17.240420
ARCM,10.553335122550374,3.553335122550374,7.0,0.0,2025-02-14T17:20:48.497845
XTJL,10.526343289458689,0.5263432894586891,10.0,0.0,2025-02-14T18:26:53.317017
EMHY,10.505791813305837,1.505791813305838,9.0,0.0,2025-02-14T17:33:38.886531
USMV,10.439158954104212,2.439158954104212,8.0,0.0,2025-02-14T18:21:16.721494
MSMR,10.429055712942935,0.4290557129429345,10.0,0.0,2025-02-14T18:00:31.734696
NFLP,10.324212551234094,3.3242125512340936,7.0,0.0,2025-02-14T18:01:40.214347
DUBS,10.312530401246999,0.3125304012469982,7.0,3.0,2025-02-14T17:32:09.049587
PNOV,10.291113045157125,0.291113045157126,10.0,0.0,2025-02-14T18:07:54.088771
FLQS,10.273395425101603,0.273395425101603,10.0,0.0,2025-02-14T17:39:08.546173
TGLR,10.258153922009518,0.25815392200951803,10.0,0.0,2025-02-14T18:17:51.769536
ZAUG,10.24298916962129,0.24298916962128914,10.0,0.0,2025-02-14T18:27:49.503554
LAPR,10.199655524151648,4.199655524151649,6.0,0.0,2025-02-14T17:54:24.974132
PWS,10.195708695153732,0.19570869515373202,6.0,4.0,2025-02-14T18:10:02.426332
LVHI,10.189514529839329,2.189514529839329,8.0,0.0,2025-02-14T17:57:53.429284
SECT,10.147388931325544,0.1473889313255441,10.0,0.0,2025-02-14T18:14:08.713084
XDTE,10.134496818799313,0.13449681879931247,10.0,0.0,2025-02-14T18:25:21.871858
OCTZ,10.122392334757096,0.12239233475709667,0.0,10.0,2025-02-14T18:04:21.031345
FSEP,10.110401974258437,0.11040197425843772,10.0,0.0,2025-02-14T17:40:19.482856
OCTU,10.103862425156088,0.10386242515608686,10.0,0.0,2025-02-14T18:04:19.010682
FDVL,10.100069457999746,0.10006945799974538,10.0,0.0,2025-02-14T17:37:26.132246
DECU,10.090987849891135,0.09098784989113468,0.0,10.0,2025-02-14T17:29:49.046805
REM,10.090034173746485,2.090034173746486,8.0,0.0,2025-02-14T18:12:35.394694
QCON,10.087660168339951,1.087660168339952,7.0,2.0,2025-02-14T18:10:29.838649
PICK,10.026829242780527,1.026829242780528,9.0,0.0,2025-02-14T18:07:16.989866
FDGR,9.99462264085273,-0.0053773591472698005,6.0,4.0,2025-02-14T17:36:40.327277
MSTZ,9.957705168541302,0.9577051685413017,9.0,0.0,2025-02-14T18:00:37.481389
TFJL,9.942760364711724,0.9427603647117238,9.0,0.0,2025-02-14T18:17:42.240086
SLVP,9.925380857000514,1.9253808570005142,8.0,0.0,2025-02-14T18:15:38.361009
YSEP,9.917837807570242,1.917837807570242,8.0,0.0,2025-02-14T18:27:42.927990
FLDR,9.892163290014652,2.892163290014652,7.0,0.0,2025-02-14T17:38:59.029668
NVDQ,9.882554542410803,-0.11744545758919599,10.0,0.0,2025-02-14T18:03:32.422035
USMF,9.813682480405884,1.8136824804058846,8.0,0.0,2025-02-14T18:21:08.093748
KJUN,9.799047734606898,-0.20095226539310218,10.0,0.0,2025-02-14T17:53:55.036199
ETQ,9.771614222612591,1.771614222612591,8.0,0.0,2025-02-14T17:34:46.232117
